2031	arkansas-little-rock-trojans
290	georgia-southern-eagles
2247	georgia-state-panthers
309	louisiana-lafayette-ragin
2433	louisiana-monroe-warhawks
6	south-alabama-jaguars
326	texas-state-bobcats
2653	troy-trojans
250	ut-arlington-mavericks
252	byu-cougars
2250	gonzaga-bulldogs
2351	loyola-marymount-lions
279	pacific-tigers
2492	pepperdine-waves
2501	portland-pilots
2608	saint-mary
301	san-diego-toreros
2539	san-francisco-dons
2541	santa-clara-broncos
2130	chicago-state-cougars
2934	csu-bakersfield-roadrunners
2253	grand-canyon-antelopes
166	new-mexico-state-aggies
2547	seattle-redhawks
140	umkc-kangaroos
292	ut-rio-grande-valley-vaqueros
3084	utah-valley-wolverines
